,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
99,Narsaq,GL,34.02,scattered clouds,60.92,-46.05,Hotel Narsaq
100,Pleszew,PL,34.23,snow,51.9,17.79,Apartamenty Zamkowa
101,Shar,KZ,34.23,overcast clouds,49.59,81.05,Бейсенов
102,Ballina,IE,34.72,light snow,54.12,-9.17,Ballina Manor Hotel
103,Atasū,KZ,34.99,snow,48.68,71.64,Диана
104,Evansville,US,35.6,clear sky,37.97,-87.56,Doubletree by Hilton Evansville
105,Hereford,GB,36.05,overcast clouds,52.06,-2.71,Aylestone Court Hotel
106,Deggendorf,DE,36.25,broken clouds,48.83,12.97,Stadthotel Deggendorf
107,Macusani,PE,36.77,overcast clouds,-14.08,-70.43,Hotel Imperial
108,Saint Paul Harbor,US,36.91,clear sky,57.79,-152.41,Best Western Kodiak Inn
109,Hamilton,US,37.24,overcast clouds,39.18,-84.53,North Vista Manor
110,Gornorechenskiy,RU,37.69,overcast clouds,44.26,135.11,Лаванда
111,East Stroudsburg,US,37.99,overcast clouds,41.0,-75.18,Quality Inn - East Stroudsburg POCONOS
112,Ürümqi,CN,38.35,clear sky,43.8,87.6,Bestay
113,Linxia Chengguanzhen,CN,38.37,overcast clouds,35.6,103.21,如家酒店
114,West Wendover,US,38.41,clear sky,40.74,-114.07,The Red Garter Hotel and Casino
115,Ushuaia,AR,38.86,light rain,-54.8,-68.3,Apart Hotel Aires del Beagle
116,Bethel,US,39.56,snow,41.37,-73.41,Hampton Inn Danbury
117,Fortuna,US,40.35,clear sky,40.6,-124.16,Comfort Inn & Suites Redwood Country
118,Baiyin,CN,40.51,overcast clouds,36.56,104.21,红鹭宾馆
119,Glamoč,BA,40.6,overcast clouds,44.05,16.85,Hotel Split
120,Craig,US,40.62,overcast clouds,40.52,-107.55,Quality Inn & Suites
121,Eureka,US,40.62,clear sky,40.8,-124.16,"Eureka Inn, Trademark Collection by Wyndham"
122,Ketchikan,US,40.98,scattered clouds,55.34,-131.65,New York Hotel and Cafe
123,Great Bend,US,41.04,clear sky,38.36,-98.76,Best Western
124,Punta Arenas,CL,41.25,scattered clouds,-53.15,-70.92,Hotel Lacolet
125,Walla Walla,US,41.36,broken clouds,46.06,-118.34,Courtyard
126,Cortez,US,41.76,overcast clouds,37.35,-108.59,BEST WESTERN Turquoise Inn & Suites
